load_dt,cntnt_id,invt_space_id,tdata_srv_type_id,srv_type_desc,served_content_cnt
10/14/15,5527452598e6b8749a044ef3,IS1050,2,Wireless,1
10/14/15,55c3fd7396c449533636db51,IS1167,2,Wireless,1
10/14/15,557b34a3323a7fc4009fd413,IS1053,2,Wireless,1
10/14/15,55dddcd596c449533636dd84,IS1268,2,Wireless,1
10/14/15,5612edc796c449533636e2cd,IS1062,2,Wireless,1
10/14/15,55dddcd596c449533636dd81,IS1267,2,Wireless,1
10/14/15,5612fbd696c449533636e2d6,IS1045,2,Wireless,1
10/14/15,55c3fd7396c449533636db52,IS1159,2,Wireless,1
10/14/15,5537f82798e6b8749a044f8a,IS1054,2,Wireless,1
10/14/15,55e7ceca96c449533636de49,IS1053,3,Video (Uvrs),1
10/14/15,55e0d4d496c449533636ddd1,IS1055,3,Video (Uvrs),1
10/14/15,5514e93798e6b8749a044d9a,IS1073,3,Video (Uvrs),1
10/14/15,54aec83fb01662da5cf89bb0,IS1060,3,Video (Uvrs),1
10/14/15,556e13b3ebdee613fee3f264,IS1159,3,Video (Uvrs),1
10/14/15,54af021cb01662da5cf89c06,IS1094,3,Video (Uvrs),1
10/14/15,560ea6bc96c449533636e0ea,IS1253,3,Video (Uvrs),1
10/14/15,561309e996c449533636e2e0,IS1055,3,Video (Uvrs),1
10/14/15,556e2fd3ebdee613fee3f297,IS1060,3,Video (Uvrs),1
10/14/15,556e2fd3ebdee613fee3f299,IS1060,3,Video (Uvrs),1
10/14/15,54af021cb01662da5cf89c08,IS1094,3,Video (Uvrs),1
10/14/15,54af021cb01662da5cf89c07,IS1096,3,Video (Uvrs),1
10/14/15,55e873f296c449533636de4d,IS1273,3,Video (Uvrs),1
10/14/15,54ebab5398e6b8749a0448a9,IS1046,3,Video (Uvrs),1
10/14/15,55ea602296c449533636de5e,IS1001,3,Video (Uvrs),1
10/14/15,560ea6bc96c449533636e0e6,IS1253,3,Video (Uvrs),1
10/14/15,54aec83fb01662da5cf89bb0,IS1157,3,Video (Uvrs),1
10/14/15,5514e93798e6b8749a044d9b,IS1078,3,Video (Uvrs),1
